,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Nantes&radius=100&limit=100&sort=date&vjk=17c98204c974c7db,"Lead technique back end Python / Go et Node.JS H/F
EXTERNATIC4 avis - Nantes (44)","['Nantes (44)', 'CDI', '50 000 € - 70 000 € par an']",Lead technique back end Python / Go et Node.JS H/F,EXTERNATIC,- Nantes (44),CDI,50 000 € - 70 000 € par an,"il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data Scientist,Nantes,"DESCRIPTION DE L'OFFRE
Externatic, le hub d’opportunités web, mobile, informatique et électronique dans l’ouest.
Cabinet de recrutement technologique nous vous trouvons des postes chez des clients finaux (startup, éditeur, DSI, agences digitales, etc. => pas de SSII) depuis 2010. Chaque offre d’emploi correspond à un poste réel.
Notre mission : vous trouver le job de vos rêves !

Pourquoi ce poste ?
La société crée un nouveau produit dédié au support client se basant sur les technologies d'intelligence artificielle. La grande entreprise finance cette innovation. On parle au quotidien de knowledge management, chatbot et API.

Vos missions
En lien avec le CTO, le PM et les data scientists, vous créez un nouveau produit from scratch, innovant, robuste et évolutif. En contexte agile, vous êtes amené à :
lead équipe de développement d'un produit hébergé dans le cloud comprenant chat bot + api + services de prédiction Machine Learning
développement multi langages
coaching dev équipe
mise en place qualité du code avec tests automatisés
déploiement et suivi de prod
responsable du delivery scrum
Technologies : Google Cloud Platform / microservices Node.Js Es6, Python, Golang / Postgresql

Salaire fonction du profil : 50 à 70 k€

Les plus
nouveau produit / projet = build
projet financé
ambiance startup / échange et partage
centre ville de Nantes
Benjamin Casseron, votre interlocuteur chez Externatic
Chaque année, j'accompagne des candidats, comme vous, dans la définition de leur projet professionnel et la recherche du job idéal (ou tout du moins du plus idéal possible).
N'hésitez pas à me contacter pour échanger sur ce poste et plus généralement sur votre carrière (contacts disponibles dans la rubrique ""qui sommes nous"" sur le site d'Externatic)
PROFIL REQUIS
Lead developer reconnu, vous avez des compétences en architecture et en gestion d'équipe.
Vous avez travaillé en environnement cloud et maitrisez au moins un des langages employés (Python, Go ou Node.JS).
Vous aimez partager, faire monter vos équipes."
1,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Nantes&radius=100&limit=100&sort=date&vjk=3e6ed6754959bf8c,"Data Engineer h/f
AdenSourcing - Rennes (35)","['Rennes (35)', 'CDI']",Data Engineer h/f,AdenSourcing,- Rennes (35),CDI,null,"Viadeo - il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Scientist,Nantes,"Notre Direction des Systèmes d’Information, pense et construit actuellement le modèle informatique de demain en intégrant les enjeux numériques, de traitement des données, et surtout de cybersécurité. Dans le cadre de notre modernisation, notre DSI est engagée dans la démarche Big Data et a pour volonté la maitrise en interne de ce sujet majeur. C’est dans ce cadre que nous mettons aujourd’hui en place une équipe autour de notre système décisionnel et Big Data et créons le poste de
Data Engineer H/F
Poste en CDI, basé à Rennes (35)
Rattaché au service « Architecture et Développement Restitutions » et intégré au sein d’une équipe composée de 8 collaborateurs (3 architectes, 1 chef de projet et 4 développeurs), vous participez activement à la mise en place du projet de transformation de notre système décisionnel aidé par des technologies de pointe.
Au quotidien vos missions sont les suivantes :
Participer activement avec votre équipe à la transformation de notre système Décisionnel et à la mise en place opérationnelle des systèmes BI et Big data de l’institution, (notamment dans le choix des technologies à adopter)
Construire des solutions dans un environnement Big Data sur des technologies telles que Spark, R, Python, HDFS,
S’assurer de la collecte, du stockage et de l’exploitation fluide des données en développant des solutions qui peuvent traiter un gros volume de data dans un temps limité,
Participer à la réalisation de cas d’usage Big Data définis en collaboration avec les Data Scientists
S’imposer peu à peu en tant que référent sur ces technologies vis-à-vis de la population utilisatrice dans nos centres."
2,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Nantes&radius=100&limit=100&sort=date&vjk=cbbf43ddae8abdab,"Data scientist (h/f) - Nantes
Maisons du Monde376 avis - Vertou (44)",['Vertou (44)'],Data scientist (h/f) - Nantes,Maisons du Monde,- Vertou (44),null,null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Scientist,Nantes,"Le programme data du groupe Maisons du Monde a presque deux ans déjà, et se compose d’une vingtaine de personnes (data scientists, data analysts, data engineers, web analysts). Poussée par une forte ambition, l’équipe data est amenée à accueillir plusieurs nouveaux profils dans les douze prochains mois. Les cas d’usages à développer vont du marketing digital (CRM, acquisition trafic, personnalisation/recommandation) à la supply chain, avec une activité R&D sanctuarisée. L’infrastructure data, développée dans l’équipe, est basée sur Google Cloud Platform. Les résultats sont là : nous sommes mis en avant par les équipes Google quant à l’usage de leurs outils cloud !
Dans une ambiance jeune et dynamique, où le travail d’équipe est mis en valeur, nous recherchons un(e) Data Scientist pour rejoindre cette belle aventure Maisons du Monde !
Vous participez activement à la vie de l’équipe : vous collaborez étroitement avec les Data Scientists et Data Engineers. Les missions seront variées (structuration de la chaîne Big Data, Dashboarding, Analyse Ad Hoc, R&D sur le Machine Learning) et demandent un niveau de rigueur certain.

MISSIONS
Vous êtes impliqué(e) dans l’engagement de l’équipe au quotidien et faites tout pour l’aider pour délivrer des fonctionnalités en continue ;
Vous travaillez en étroite relation avec notre Lead Data scientist pour aider à la création des algorithmes nécessaires pour les cas d’usages développés pour les équipes métier ;
Vous mettez en place les nouveaux flux d’entrée et de sortie au sein de la plateforme data, et irez jusqu’au modeling et à l’activation de la donnée ;
Vous assurez le delivery, et êtes constamment en veille sur les nouvelles technos.
VOTRE ENVIRONNEMENT TECHNIQUE
Google Cloud Platform ;
Big Query, SQL-like, Dataflow, Dataproc ;
Python ;
ML & DL, Tensorflow ;
Qlik Sense ;
Et tout autre outil que vous jugerez pertinent !

Poste basé à Vertou.

De formation supérieure en école d’ingénieur/université (niveau Bac+5 ou plus), vous possédez au minimum une première expérience professionnelle (stage/alternance acceptés) dans un programme data.

SAVOIR-FAIRE
Vous avez déjà appliqué les technologies Big Data en production sur de fortes volumétries de données. Vous maitrisez le développement en Python ;
Vous avez la capacité à maintenir la chaîne Big Data, de la récupération de la donnée jusqu’à son exploitation finale ;
Une bonne culture du web et du marketing digital est un plus (web analytics, DMP, CRM, SEO, SEA, etc.).
SAVOIR-ETRE
Vous avez l’esprit d’équipe et êtes impliqué(e) dans votre travail au quotidien ;
Vous êtes curieux (se), rigoureux (se), structuré(e) ;
Vous avez hâte de proposer des améliorations, les partager et les prioriser avec vos collègues ;
A l’externe, vous participez à des évènements de l’univers Big Data (meetups, conférence, etc.)."
3,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Nantes&radius=100&limit=100&sort=date&vjk=b208ac967777f261,"DATA SCIENTIST H/F
STEF334 avis - Theix (56)","['Theix (56)', 'Temps plein, CDI']",DATA SCIENTIST H/F,STEF,- Theix (56),"Temps plein, CDI",null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Scientist,Nantes,"Prêt à vivre une expérience passionnante ? Chez STEF, leader européen du transport et de la logistique alimentaire, vous agissez au cœur d’un monde en pleine évolution.
Votre défi ? Apporter chaque jour à des millions de consommateurs des produits essentiels pour se nourrir, en toute sécurité.

Prêt à vivre une expérience passionnante ? Chez STEF, leader européen du transport et de la logistique alimentaire, vous agissez au cœur d’un monde en pleine évolution.
Votre défi ? Apporter chaque jour à des millions de consommateurs des produits essentiels pour se nourrir, en toute sécurité.

Au sein du Pôle Digital de STEF IT (filiale systèmes d’information du groupe STEF), basé à Vannes, vous intervenez sur des projets de Data Science couvrant l’ensemble des métiers du groupe : exploitation transport et logistique, commerce, contrôle de gestion, immobilier, ressources humaines…..
Votre rôle ?
Valoriser vos compétences en analyse de données et modélisation statistique pour accompagner les clients internes dans des tâches comme :
Aider à l'identification de leurs besoins spécifiques, et de leurs problématiques d'exploitation des données.
Intervenir à toutes les étapes des projets, de la récupération des données à l’implémentation des modèles dans les systèmes.
Organiser son raisonnement et savoir vulgariser les méthodes choisies (machine learning, régressions, classifications…), pour faciliter leur utilisation par les équipes métier et la prise de décision.
Garantir l’adéquation de la solution apportée aux besoins métier du client.
Participer au développement de la cellule Data Science au sein du pôle Digital.

Votre profil ?
Ecole d’ingénieur (ENSAI, ENSAE…) ou diplômé d’un Master en Data Science/modélisation statistique, vous disposez idéalement d’une expérience professionnelle d’au moins 2 ans dans l’analyse et la modélisation de données.
Vous maitrisez Python et/ou R et les librairies Data Science associées.
Vous avez une très forte appétence pour les chiffres, un bon esprit de synthèse et d’analyse, de la curiosité et des qualités pédagogiques. Vous avez d’excellentes capacités d’adaptation, qui vous permettent de passer facilement d’un sujet à un autre.

Rejoindre notre pôle Digital, c’est participer à la transformation d’un groupe solide en constante évolution, contribuer à la mise en œuvre des nouvelles technologies au sein d’un leader de son domaine."
4,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Nantes&radius=100&limit=100&sort=date&vjk=42ac0d18e28e658c,"R&D engineer in high-performance computing and Big Data analytics - Damaris project
Inria46 avis - Rennes (35)",['Rennes (35)'],R&D engineer in high-performance computing and Big Data analytics - Damaris project,Inria,- Rennes (35),null,null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Scientist,Nantes,"Le descriptif de l’offre ci-dessous est en Anglais
Niveau de diplôme exigé : Thèse ou équivalent
Fonction : Ingénieur scientifique contractuel
A propos du centre ou de la direction fonctionnelle
Inria, the French national research institute for the digital sciences, promotes scientific excellence and technology transfer to maximise its impact.
It employs 2,400 people. Its 200 agile project teams, generally with academic partners, involve more than 3,000 scientists in meeting the challenges of computer science and mathematics, often at the interface of other disciplines.
Inria works with many companies and has assisted in the creation of over 160 startups.
It strives to meet the challenges of the digital transformation of science, society and the economy.
Contexte et atouts du poste
About Inria, the team and the position
Inria is the only French public research body fully dedicated to computational sciences. Inria's missions are to produce outstanding research in the computing and mathematical fields of digital sciences and to ensure its impact on the economy and society through technology transfer and innovation. Throughout its 8 research centres and its approximately 200 project teams, Inria has a workforce of 3 400 scientists with an annual budget of 265 million euros, 29% of which coming from its own resources. Inria Rennes Bretagne-Atlantique is one of the eight sites of Inria. This publicly funded research center has a workforce of about 620 people, including full-time research scientists, faculty staff, engineers and support staff, distributed in 33 teams and support services.
The hired engineer will be a member of the KerData Inria team (https://team.inria.fr/kerdata/) led by Gabriel Antoniu. KerData is a joint research team of Inria Rennes - Bretagne Atlantique, ENS Rennes and INSA Rennes, and also a team of the IRISA lab. KerData's main research activities address the area of distributed data management at challenging scales, with a particular focus on clouds and petascale HPC architectures. We address the needs of data-oriented high-performance applications that must handle massive non structured data. Developed by the KerData research team in collaboration with JLESC (Joint INRIA-ANL-UIUC-BSC Lab for Extreme Scale Computing: http://publish.illinois.edu/jointlab-esc/), Damaris is a middleware for managing I/O and in situ processing of Big Data on HPC infrastructures.
Mission confiée
Mission overview
By joining our team you will participate in a dynamic work environment with exceptionally talented and friendly coworkers who are committed to high-quality research and development practices. You will collaborate with esteemed researchers from around the world by taking the technical responsibility for the development of the Damaris software, with the following global missions:
(1) maintain Damaris a distributable, professional-quality software (technical support, documentation, management of the web site);
(2) contribute to the design of a unified, scalable data processing framework where Damaris will be enhanced with innovative functionalities including Big Data storage and analytics features based on the KerA approach developed by KerData, with the goal to favor the adoption of this framework by the HPC and Big Data community, in the context of the HPC-Big Data convergence; this activity will be performed in close collaboration with our collaborators from ZettaFlow (a project aiming a startup creation focusing on these aspects).
(3) contribute to dissemination actions by interacting with potential users and by promoting Damaris and the future derived software through demonstrations at major HPC and Big Data events, such as the Supercomputing or IEEE BigData conferences.
(4) explore and lead exploitation plans, including the possibility to create a start-up company, based on Damaris, KerA and the derived software.
Principales activités
Detailed missions
Improve and extend the Damaris code, perform robustness and performance tests, maintain a continuous code integration process;
Create a unified data processing framework combining Damaris (as in situ/in transit data processing framework) with Big Data analytics plugins to support batch-based or stream-based data processing (e.g., based on components from the Spark, Flink ecosystem); this task includes refactoring, testing and integration with the KerA technology developed by the KerData team for low-latency stream storage and processing;
Adapt Damaris to use recent advanced communication and multithreading technologies (Mercury, Argobots);
Develop and maintain software connectors allowing Damaris to be used by state-of-the-art visualization tools such as VisIt and ParaView;
Facilite the dissemination of Damaris and of the unified data processing framework through the following means:
Maintain a complete and up-to-date documentation (reference manual, user manual);
Write example codes to facilitate learning of the interface by new users;
Design and maintain a profesional-quality web site facilitating the distribution of the code and of its documentation;
Design and implementation of software demonstrators:
Make demos at forums such as the Supercomputing conference, main international forum of the HPC community, BDEC (https://www.exascale.org/bdec/), the European Big Data Value Forum and Teratec;
Create and animate a user community around the (maintain a mailing list, a mechanism for bug report and solving, user support, etc.).
Compétences
Required qualifications
Excellent, demonstrated programming skills in C, C++, Python;
Very good knowledge of hardware and software technologies in the area of HPC (including MPI, which is a must, and knowledge about networking protocols like Intel DPDK/Infiniband)) and Big Data;
Very good knowledge of methodologies for managing software projects;
Ability to analyze and synthesize user requirements;
Ability to communicate and work in collaboration with experts in the same area and in other areas, in English;
Autonomy in leading and performing the tasks;
Sense of partnership and team spirit;
Taste for transmitting and sharing knowledge, results, progress;
Facility to present the results in written and oral form.
Avantages
Subsidised catering service
Partially-reimbursed public transport
Rémunération
monthly gross salary from 2562 euros according to diploma and experience"
5,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Nantes&radius=100&limit=100&sort=date&vjk=91c9751ece3ba76a,"Développeur Java/Apex (H/F)
iAdvize2 avis - Nantes (44)",['Nantes (44)'],Développeur Java/Apex (H/F),iAdvize,- Nantes (44),null,null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Scientist,Nantes,"Job Description

Au sein du pôle Operations, vous êtes amenés à développer en collaboration avec les équipes métiers, des solutions techniques pour améliorer l’efficience de notre organisation et de notre relation client/prospect.
Dans le cadre de ces missions, vous serez un acteur majeur de la transformation de notre système d’informations au sein d’une équipe pluridisciplinaire (Chef de projet, data Scientist, développeur, architecte,…) en connectant les outils de notre patrimoine applicatif (Salesforce, Sage, Google Suite, Dropbox, Workplace..)
Missions
Concevoir et développer des applications métiers spécifiques au service de l’entreprise
Vous êtes autonome et arbitrez les choix techniques pour la mise en place de ces applications
Vous êtes garant du cycle de production sur les différentes plateformes, du développement jusqu'à la mise en production.
Vous êtes force de proposition sur les solutions préconisées dans le cadre des nouveaux projets.
Vous participez aux réflexions internes en termes d'optimisation des développements et de la maintenance évolutive de la plateforme Salesforce

Qualifications

Vous disposez d'une solide expérience en développement et vous avez pu avoir une première expérience de développement avec Salesforce en auto-formation ou dans un contexte professionnel (Vos badges trailhead sont appréciés !)
Compétences techniques requises :
Java
Apex (SOQL)
Visualforce
Vous serez aussi amené à créer des outils qui communiquent entre Salesforce et des outils tiers avec d'autres languages (Node.JS, PHP, ...) dans un environnement Google Cloud.
Profil recherché :
Vous êtes doté d’un bon sens du relationnel et d’un esprit d’équipe
Vous êtes rigoureux et méthodique dans votre approche
Vous avez un bon niveau d'anglais oral et écrit.

Additional Information

Date de démarrage : Asap
Lieu de Travail : Nantes centre ville
Rémunération : A convenir
Nous sommes bien entendu attachés à la diversité de nos équipes, nous pratiquons une politique de non-discrimination."
6,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Nantes&radius=100&limit=100&sort=date&vjk=c265b893c2b41e7a,"Data Scientist en Pistage H/F
Naval Group170 avis - Nantes (44)","['Nantes (44)', 'CDI']",Data Scientist en Pistage H/F,Naval Group,- Nantes (44),CDI,null,"il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Scientist,Nantes,"Naval Group, leader européen du naval de défense est l'un des rares industriels dans le monde capable de concevoir, réaliser et entretenir des systèmes aussi pointus qu'un sous-marin, un porte-avions ou un navire. Les projets complexes vous attirent et l'innovation est votre moteur ? Rejoignez nos équipes et participez à la grande aventure du naval de défense !

Intégré(e) à la Direction Innovation et Technologie et plus particulièrement au Département Algorithme et Architecture Avancée, vous travaillez sur la mise en place et l'évolution de chaînes de pistage au sein d'une équipe de 4 personnes.

A ce titre, vos principales missions seront les suivantes:

Etudier et réaliser une architecture des modules de pistage existants puis réaliser des algorithmes en pistage et en trajectographie nouvelle génération,
Réaliser la veille technologique au niveau R&D (participation à des salons, conférences),
Proposer et réaliser des sujets et études de R&D (en lien avec les entités opérationnelles),
Assurer la réalisation d'études et d'expertise dans son domaine (sur sollicitation, sur réponse à ETO DGA,...)
Participer à la rédaction des réponses sur projets DGA (ASTRID, PST,...), européens (H2020)…
Profil
Vous êtes diplômé(e) idéalement d'un bac+5 spécialisé en mathématiques appliquées ou en statistiques et vous possédez une expérience dans le domaine industriel en tant que Data Scientist.
La maîtrise de méthodes/langages/outils de traitement des données scientifiques sont des prérequis au poste (Matlab, Python). Des connaissances quant à la méthode des moindres carrés ainsi que l'utilisation du filtre de Kalman sont nécessaires. La notion des langages C, C++; Java serait un plus afin de faciliter l'intégration sur des systèmes complexes de nos algorithmes.

Vous êtes une personne possédant un bon relationnel, et faites preuve de pugnacité et de proactivité.
Vous êtes rigoureux et appréciez le travail en équipe, et la curiosité vous caractérisent.
Ce poste est ouvert aux sites d'Indret et d'Ollioules.
Type de contrat standard
Durée indéterminée
Date prévue de prise de fonction
01/10/2019
Catégorie Professionnelle
Ingénieurs et Cadres
Salaire min. annuel brut de base (en euros)
nc
Salaire max. annuel brut de base (en euros)
nc"
7,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Nantes&radius=100&limit=100&sort=date&vjk=82d8e8c0c2b9d533,"Data Engineer / Freelance
CS Group Solutions - Nantes (44)","['Nantes (44)', 'Temps plein, Freelance / Indépendant']",Data Engineer / Freelance,CS Group Solutions,- Nantes (44),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Scientist,Nantes,"Nous recherchons un consultant Data Engineer pour la mission suivante:

Mettre en uvre les traitements Big Data d’ingestion de données dans le datalake et d’alimentation de la base de données selon le modèle pré défini.
Créer le modèle de données dans la base de données Elastic.
Assurer la cohérence et la mise en qualité des données ingérées.
Respecter les normes de développement et documenter les travaux réalisés.
Réaliser les user stories demandées par le Product Owner.
Savoir échanger et questionner sur les fonctionnalités à développer lors des cérémonies agiles.
Travailler avec le data scientist.

Compétences
Développement confirmé en langage Python Spark + Git.
Une première expérience sur le cloud Azure : Databricks, Azure data factory.
Expérience sur la Stack Elastic ou une autre base de données orientée moteur de recherche.
Environnement de travail agile : Jira, Confluence.
Idéalement utilisation d’un outil de gouvernance de données.

Vanille LACOSTE
Ingénieur d’affaires

CS GROUP SOLUTIONS
Tel : 05 67 16 15 97
Mob : 06 87 38 86 76
vlacoste@groupcs.com"
8,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Nantes&radius=100&limit=100&sort=date&vjk=1a78abfa8a32837d,"Data Scientist en Pistage H/F - Naval Group, leader mondial du naval de défense
Page Personnel FR202 avis - Nantes (44)",['Nantes (44)'],"Data Scientist en Pistage H/F - Naval Group, leader mondial du naval de défense",Page Personnel FR,- Nantes (44),null,null,"il y a 10 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Scientist,Nantes,"A ce titre, vos principales missions sont les suivantes :
Etudier et réaliser une architecture des modules de pistage existants, puis réaliser des algorithmes en pistage et en trajectographie nouvelle génération,
Réaliser la veille technologique au niveau R&D (participation à des salons, conférences),
Proposer et réaliser des sujets et études de R&D (en lien avec les entités opérationnelles),
Assurer la réalisation d'études et d'expertise dans votre domaine (sur sollicitation, sur réponse à ETO DGA...),j
Participer à la rédaction des réponses sur projets DGA (ASTRID, PST...), européens (H2020).

Naval Group, leader mondial du naval de défense

Vous travaillez sur la mise en place et l'évolution de chaînes de pistage

Vous êtes diplômé idéalement d'un Bac +5 minimum spécialisé en mathématiques appliquées et vous possédez au moins une expérience dans le domaine industriel en tant que Data Scientist.

La maîtrise de méthodes/langages/d'outils de traitement des données scientifiques sont requis au poste (Matlab, Python). Des connaissances quant à la méthode des moindres carrés, ainsi que l'utilisation du filtre de Kalman sont nécessaires. La notion des langages C, C++; Java est un plus. Ce poste est ouvert aux sites d'Indret et d'Ollioules."
9,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Nantes&radius=100&limit=100&sort=date&vjk=f2e8ed2d57e32a51,"Un développeur python spark + Git sur Nantes / Freelance
Almatek - Nantes (44)","['Nantes (44)', 'Temps plein, Freelance / Indépendant']",Un développeur python spark + Git sur Nantes / Freelance,Almatek,- Nantes (44),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 7 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Scientist,Nantes,"Je recherche pour l’un de mes clients, grand compte, un développeur python/ spark sur Nantes

Data engineer
Rôle
Mettre en uvre les traitements Big Data d’ingestion de données dans le datalake et d’alimentation de la base de données selon le modèle pré défini.
Créer le modèle de données dans la base de données Elastic.
Assurer la cohérence et la mise en qualité des données ingérées.
Respecter les normes de développement et documenter les travaux réalisés.
Réaliser les user stories demandées par le Product Owner.
Savoir échanger et questionner sur les fonctionnalités à développer lors des cérémonies agiles.
Travailler avec le data scientist.

Compétences
Développement confirmé en langage Python Spark + Git.
Une première expérience sur le cloud Azure : Databricks, Azure data factory.
Expérience sur la Stack Elastic ou une autre base de données orientée moteur de recherche.
Environnement de travail agile : Jira, Confluence.
Idéalement utilisation d’un outil de gouvernance de données.

Compétences techniques
Python Spark + Git. - Confirmé - Impératif
Stack Elastic - Confirmé - Impératif
Jira, Confluence - Confirmé - Impératif
cloud Azure : Databricks, Azure data factory - Confirmé - Important

Démarrage 14/10/209
Durée : 6 mois renouvelables."
